[Sun Nov 16 21:40:17.520616 2025] [php:notice] [pid 309] [client ::1:55218] 1, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:17.538511 2025] [php:notice] [pid 309] [client ::1:55218] PHP Fatal error:  Uncaught TypeError: error_log(): Argument #1 ($message) must be of type string, array given in /var/www/html/oscs/ajax_atualizar_osc.php:42\nStack trace:\n#0 /var/www/html/oscs/ajax_atualizar_osc.php(42): error_log()\n#1 {main}\n  thrown in /var/www/html/oscs/ajax_atualizar_osc.php on line 42, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:56.839527 2025] [php:notice] [pid 312] [client ::1:60456] 1, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:56.840285 2025] [php:notice] [pid 312] [client ::1:60456] PHP Warning:  Array to string conversion in /var/www/html/oscs/ajax_atualizar_osc.php on line 42, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:56.840374 2025] [php:notice] [pid 312] [client ::1:60456] PHP Stack trace:, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:56.840386 2025] [php:notice] [pid 312] [client ::1:60456] PHP   1. {main}() /var/www/html/oscs/ajax_atualizar_osc.php:0, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:56.840398 2025] [php:notice] [pid 312] [client ::1:60456] razao social : Array, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:40:56.840667 2025] [php:notice] [pid 312] [client ::1:60456] PHP Fatal error:  Uncaught TypeError: mysqli_real_escape_string(): Argument #2 ($string) must be of type string, array given in /var/www/html/oscs/ajax_atualizar_osc.php:45\nStack trace:\n#0 /var/www/html/oscs/ajax_atualizar_osc.php(45): mysqli_real_escape_string()\n#1 {main}\n  thrown in /var/www/html/oscs/ajax_atualizar_osc.php on line 45, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:41:51.810325 2025] [php:notice] [pid 923] [client ::1:37774] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:42:33.080641 2025] [php:notice] [pid 924] [client ::1:36342] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:42:36.986053 2025] [php:notice] [pid 924] [client ::1:36342] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:43:11.275883 2025] [php:notice] [pid 926] [client ::1:49922] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:44:36.615991 2025] [php:notice] [pid 313] [client ::1:42328] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:44:56.976387 2025] [php:notice] [pid 311] [client ::1:49760] 1, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:44:56.976620 2025] [php:notice] [pid 311] [client ::1:49760] razao social : a, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:44:57.019306 2025] [php:notice] [pid 311] [client ::1:49760] PHP Fatal error:  Uncaught mysqli_sql_exception: Unknown column 'id' in 'where clause' in /var/www/html/oscs/ajax_atualizar_osc.php:96\nStack trace:\n#0 /var/www/html/oscs/ajax_atualizar_osc.php(96): mysqli_query()\n#1 {main}\n  thrown in /var/www/html/oscs/ajax_atualizar_osc.php on line 96, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:46:03.288311 2025] [php:notice] [pid 309] [client ::1:54112] 1, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:46:03.288546 2025] [php:notice] [pid 309] [client ::1:54112] razao social : a, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:46:44.647851 2025] [php:notice] [pid 312] [client ::1:42982] 1, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:46:44.648068 2025] [php:notice] [pid 312] [client ::1:42982] razao social : aasdasdasd, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:46:44.661854 2025] [php:notice] [pid 312] [client ::1:42982] PHP Fatal error:  Uncaught mysqli_sql_exception: Data too long for column 'sigla' at row 1 in /var/www/html/oscs/ajax_atualizar_osc.php:73\nStack trace:\n#0 /var/www/html/oscs/ajax_atualizar_osc.php(73): mysqli_query()\n#1 {main}\n  thrown in /var/www/html/oscs/ajax_atualizar_osc.php on line 73, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:47:13.850631 2025] [php:notice] [pid 923] [client ::1:39406] 1, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 21:47:13.850731 2025] [php:notice] [pid 923] [client ::1:39406] razao social : aasdasdasd, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:15:41.066924 2025] [php:notice] [pid 922] [client ::1:57382] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:15:47.448282 2025] [php:notice] [pid 924] [client ::1:37964] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:17:20.862352 2025] [php:notice] [pid 925] [client ::1:46502] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:17:21.573688 2025] [php:notice] [pid 925] [client ::1:46502] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:17:22.081592 2025] [php:notice] [pid 925] [client ::1:46502] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:17:55.551918 2025] [php:notice] [pid 926] [client ::1:40392] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:17:56.426813 2025] [php:notice] [pid 926] [client ::1:40392] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:17:57.132598 2025] [php:notice] [pid 926] [client ::1:40392] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:18:33.586178 2025] [php:notice] [pid 310] [client ::1:47162] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:19:31.777285 2025] [php:notice] [pid 313] [client ::1:46354] A, referer: http://localhost:85/editar_osc.php?id=1
[Sun Nov 16 23:19:34.078279 2025] [php:notice] [pid 313] [client ::1:46354] A, referer: http://localhost:85/editar_osc.php?id=1
[Mon Nov 17 00:45:33.739163 2025] [php:notice] [pid 47139] [client ::1:34382] A, referer: http://localhost:85/editar_osc.php?id=1
[Mon Nov 17 00:52:01.702738 2025] [php:notice] [pid 47142] [client ::1:39838] teste, referer: http://localhost:85/cadastro_osc.php
